object_word,verb,gender,tier,dep_type,example
wife,cry,female,role_noun,dobj,"“Do not you want to know who has taken it?” cried his wife, impatiently."
wife,reply,female,role_noun,dobj,"“My dear Mr. Bennet,” replied his wife, “how can you be so tiresome?"
he,visit,male,pronoun,dobj,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.”"
daughter,have,female,role_noun,dobj,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”"
bingley,see,male,name,dobj,"“But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.”"
daughter,consider,female,role_noun,dobj,“But consider your daughters.
he,visit,male,pronoun,dobj,"Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.”"
he,assure,male,pronoun,dobj,I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever h
she,give,female,pronoun,dobj,But you are always giving _her_ the preference.”
he,reply,male,pronoun,dobj,"“They have none of them much to recommend them,” replied he: “they are all silly and ignorant like other girls; but Lizzy has something more of quickn"
herself,fancy,female,pronoun,dobj,"When she was discontented, she fancied herself nervous."
he,visit,male,pronoun,dobj,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
wife,assure,female,role_noun,dobj,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
daughter,observe,female,role_noun,dobj,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--"
she,address,female,pronoun,dobj,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--"
he,meet,male,pronoun,dobj,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”"
he,introduce,male,pronoun,dobj,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”"
herself,contain,female,pronoun,dobj,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
mother,cry,female,role_noun,dobj,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
he,introduce,male,pronoun,dobj,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
he,know,male,pronoun,dobj,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
bingley,introduce,male,name,dobj,"“Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.”"
girl,love,female,role_noun,dobj,I was sure you loved your girls too well to neglect such an acquaintance.
father,have,male,role_noun,dobj,"“What an excellent father you have, girls,” said she, when the door was shut."
girl,have,female,role_noun,dobj,"“What an excellent father you have, girls,” said she, when the door was shut."
he,ask,male,pronoun,dobj,"The rest of the evening was spent in conjecturing how soon he would return Mr. Bennet’s visit, and determining when they should ask him to dinner."
he,attack,male,pronoun,dobj,"They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and th"
father,see,male,role_noun,dobj,"He had entertained hopes of being admitted to a sight of the young ladies, of whose beauty he had heard much; but he saw only the father."
lady,bring,female,role_noun,dobj,[_Copyright 1894 by George Allen._]] being gone to London only to get a large party for the ball; and a report soon followed that Mr. Bingley was to b
sister,bring,female,role_noun,dobj,"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing that, instead of twelve, he had brought only six"
gentleman,look,male,role_noun,dobj,"His brother-in-law, Mr. Hurst, merely looked the gentleman; but his friend Mr. Darcy soon drew the attention of the room by his fine, tall person, han"
he,pronounce,male,pronoun,dobj,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
he,save,male,pronoun,dobj,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great"
himself,give,male,pronoun,dobj,"Mr. Bingley had soon made himself acquainted with all the principal people in the room: he was lively and unreserved, danced every dance, was angry th"
bennet,find,male,name,dobj,They found Mr. Bennet still up.
she,admire,female,pronoun,dobj,"I was so vexed to see him stand up with her; but, however, he did not admire her at all; indeed, nobody can, you know; and he seemed quite struck with"
she,ask,female,pronoun,dobj,"So he inquired who she was, and got introduced, and asked her for the two next."
husband,cry,male,role_noun,dobj,"Then, the two third he danced with Miss King, and the two fourth with Maria Lucas, and the two fifth with Jane again, and the two sixth with Lizzy, an"
himself,fancy,male,pronoun,dobj,"He walked here, and he walked there, fancying himself so very great!"
he,admire,male,pronoun,dobj,"[Illustration] When Jane and Elizabeth were alone, the former, who had been cautious in her praise of Mr. Bingley before, expressed to her sister how "
he,like,male,pronoun,dobj,"Well, he certainly is very agreeable, and I give you leave to like him."
sister,like,female,role_noun,dobj,"And so, you like this man’s sisters, too, do you?"
man,marry,male,role_noun,dobj,"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means un"
she,suit,female,pronoun,dobj,"His sisters were very anxious for his having an estate of his own; but though he was now established only as a tenant, Miss Bingley was by no means un"
she,admire,female,pronoun,dobj,"Mrs. Hurst and her sister allowed it to be so; but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they shou"
she,like,female,pronoun,dobj,"Mrs. Hurst and her sister allowed it to be so; but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they shou"
she,pronounce,female,pronoun,dobj,"Mrs. Hurst and her sister allowed it to be so; but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they shou"
himself,occupy,male,pronoun,dobj,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a h"
she,admire,female,pronoun,dobj,"To be sure that _did_ seem as if he admired her--indeed, I rather believe he _did_--I heard something about it--but I hardly know what--something abou"
he,ask,male,pronoun,dobj,"Mr. Robinson’s asking him how he liked our Meryton assemblies, and whether he did not think there were a great many pretty women in the room, and _whi"
he,ask,male,pronoun,dobj,"“Ay, because she asked him at last how he liked Netherfield, and he could not help answering her; but she said he seemed very angry at being spoke to."
she,answer,female,pronoun,dobj,"“Ay, because she asked him at last how he liked Netherfield, and he could not help answering her; but she said he seemed very angry at being spoke to."
herself,pique,female,pronoun,dobj,"“Pride,” observed Mary, who piqued herself upon the solidity of her reflections, “is a very common failing, I believe."
sister,except,female,role_noun,dobj,"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excep"
she,admire,female,pronoun,dobj,"It was generally evident, whenever they met, that he _did_ admire her; and to _her_"
she,guard,female,pronoun,dobj,"it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the first, and was in a way to be very m"
he,fix,male,pronoun,dobj,"If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor "
sister,like,female,role_noun,dobj,"Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.”"
he,help,male,pronoun,dobj,"Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on.”"
he,help,male,pronoun,dobj,"“But she does help him on, as much as her nature will allow."
husband,get,male,role_noun,dobj,"“Your plan is a good one,” replied Elizabeth, “where nothing is in question but the desire of being well married; and if I were determined to get a ri"
he,know,male,pronoun,dobj,She has known him only a fortnight.
he,see,male,pronoun,dobj,"She danced four dances with him at Meryton; she saw him one morning at his own house, and has since dined in company with him four times."
elizabeth,provoke,female,name,dobj,"[Illustration: “The entreaties of several” [_Copyright 1894 by George Allen._]] On his approaching them soon afterwards, though without seeming to hav"
