subject,verb,gender,tier,dep_type,is_passive,example
he,consider,male,pronoun,nsubjpass,True,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the"
lady,say,female,role_noun,nsubj,False,"“My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”"
bennet,reply,male,name,nsubj,False,Mr. Bennet replied that he had not.
he,have,male,pronoun,nsubj,False,Mr. Bennet replied that he had not.
she,return,female,pronoun,nsubj,False,"“But it is,” returned she; “for Mrs. Long has just been here, and she told me all about it.”"
she,tell,female,pronoun,nsubj,False,"“But it is,” returned she; “for Mrs. Long has just been here, and she told me all about it.”"
bennet,make,male,name,nsubj,False,Mr. Bennet made no answer.
he,come,male,pronoun,nsubj,False,[Illustration: “He came down to see the place” [_Copyright 1894 by George Allen._]]
he,come,male,pronoun,nsubj,False,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on"
he,agree,male,pronoun,nsubj,False,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on"
his,marry,male,pronoun,nsubj,False,You must know that I am thinking of his marrying one of them.”
he,fall,male,pronoun,nsubj,False,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.”"
he,come,male,pronoun,nsubj,False,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.”"
bingley,like,male,name,nsubj,False,"You and the girls may go--or you may send them by themselves, which perhaps will be still better; for as you are as handsome as any of them, Mr. Bingl"
woman,have,female,role_noun,nsubj,False,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”"
he,come,male,pronoun,nsubj,False,"“But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.”"
he,choose,male,pronoun,nsubj,False,I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever h
man,come,male,role_noun,nsubj,False,"“But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.”"
wife,understand,female,role_noun,nsubj,False,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insuffi"
she,discontent,female,pronoun,nsubjpass,True,"When she was discontented, she fancied herself nervous."
she,fancy,female,pronoun,nsubj,False,"When she was discontented, she fancied herself nervous."
daughter,marry,female,role_noun,nsubj,False,The business of her life was to get her daughters married: its solace was visiting and news.
bingley,like,male,name,nsubj,False,[Illustration: “I hope Mr. Bingley will like it”
he,intend,male,pronoun,nsubj,False,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
he,go,male,pronoun,nsubj,False,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
she,have,female,pronoun,nsubj,False,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
he,address,male,pronoun,nsubj,False,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--"
bingley,like,male,name,nsubj,False,"“I hope Mr. Bingley will like it, Lizzy.”"
bingley,like,male,name,nsubj,False,"Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”"
mother,say,female,role_noun,nsubj,False,"Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”"
elizabeth,say,female,name,nsubj,False,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”"
she,have,female,pronoun,nsubj,False,She has two nieces of her own.
bennet,say,male,name,nsubj,False,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do not depend on her serving you.”"
she,serve,female,pronoun,nsubj,False,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do not depend on her serving you.”"
bennet,deign,male,name,nsubj,False,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
kitty,have,female,name,nsubj,False,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
father,say,male,role_noun,nsubj,False,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
she,time,female,pronoun,nsubj,False,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
kitty,reply,female,name,nsubj,False,"“I do not cough for my own amusement,” replied Kitty, fretfully."
she,introduce,female,pronoun,nsubj,False,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
she,know,female,pronoun,nsubj,False,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
she,think,female,pronoun,nsubj,False,"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it "
girl,stare,female,role_noun,nsubj,False,The girls stared at their father.
bennet,say,male,name,nsubj,False,"Mrs. Bennet said only, “Nonsense, nonsense!”"
he,cry,male,pronoun,nsubj,False,“What can be the meaning of that emphatic exclamation?” cried he.
mary,wish,female,name,nsubj,False,"Mary wished to say something very sensible, but knew not how."
mary,adjust,female,name,nsubj,False,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”"
he,continue,male,pronoun,nsubj,False,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr. Bingley.”"
wife,cry,female,role_noun,nsubj,False,"“I am sick of Mr. Bingley,” cried his wife."
he,wish,male,pronoun,nsubj,False,"The astonishment of the ladies was just what he wished--that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over,"
