object_word,verb,gender,tier,dep_type,is_dialogue,example
he,visit,male,pronoun,dobj,True,"But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.”"
daughter,have,female,role_noun,dobj,True,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty."
bingley,see,male,name,dobj,True,"“But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.”"
daughter,consider,female,role_noun,dobj,True,“But consider your daughters.
he,visit,male,pronoun,dobj,True,"Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.”"
he,assure,male,pronoun,dobj,True,I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever h
he,visit,male,pronoun,dobj,False,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
wife,assure,female,role_noun,dobj,False,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
she,address,female,pronoun,dobj,False,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,-- “I hope Mr. Bingley will like it, Lizzy.”"
he,meet,male,pronoun,dobj,True,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”"
he,introduce,male,pronoun,dobj,True,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the assemblies, and that Mrs. Long has promised to introduce him.”"
herself,contain,female,pronoun,dobj,False,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
he,introduce,male,pronoun,dobj,True,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
he,know,male,pronoun,dobj,True,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till the day before; so, it will be impossible for her to introduce him, for she w"
bingley,introduce,male,name,dobj,True,"“Then, my dear, you may have the advantage of your friend, and introduce Mr. Bingley to _her_.”"
girl,love,female,role_noun,dobj,True,I was sure you loved your girls too well to neglect such an acquaintance.
father,have,male,role_noun,dobj,True,"“What an excellent father you have, girls,” said she, when the door was shut."
