Token,Lemma,POS,Dep,Head_Lemma,Is_Stop,Is_Alpha,Is_Dialogue,Sentence_ID,Token_Index
﻿,﻿,PUNCT,punct,chapter,False,False,False,1,0
Chapter,chapter,NOUN,ROOT,chapter,False,True,False,1,1
I.,i.,X,nummod,chapter,False,False,False,1,2
],],X,nmod,chapter,False,False,False,1,3
It,it,PRON,nsubj,be,True,True,False,2,4
is,be,AUX,ROOT,be,True,True,False,2,5
a,a,DET,det,truth,True,True,False,2,6
truth,truth,NOUN,attr,be,False,True,False,2,7
universally,universally,ADV,advmod,acknowledge,False,True,False,2,8
acknowledged,acknowledge,VERB,acl,truth,False,True,False,2,9
",",",",PUNCT,punct,be,False,False,False,2,10
that,that,SCONJ,mark,be,True,True,False,2,11
a,a,DET,det,man,True,True,False,2,12
single,single,ADJ,amod,man,False,True,False,2,13
man,man,NOUN,nsubj,be,False,True,False,2,14
in,in,ADP,prep,man,True,True,False,2,15
possession,possession,NOUN,pobj,in,False,True,False,2,16
of,of,ADP,prep,possession,True,True,False,2,17
a,a,DET,det,fortune,True,True,False,2,18
good,good,ADJ,amod,fortune,False,True,False,2,19
fortune,fortune,NOUN,pobj,of,False,True,False,2,20
must,must,AUX,aux,be,True,True,False,2,21
be,be,AUX,ccomp,be,True,True,False,2,22
in,in,ADP,prep,be,True,True,False,2,23
want,want,NOUN,pobj,in,False,True,False,2,24
of,of,ADP,prep,want,True,True,False,2,25
a,a,DET,det,wife,True,True,False,2,26
wife,wife,NOUN,pobj,of,False,True,False,2,27
.,.,PUNCT,punct,be,False,False,False,2,28
However,however,SCONJ,advmod,known,True,True,False,3,29
little,little,ADV,advmod,known,False,True,False,3,30
known,known,ADJ,acomp,be,False,True,False,3,31
the,the,DET,det,feeling,True,True,False,3,32
feelings,feeling,NOUN,nsubj,be,False,True,False,3,33
or,or,CCONJ,cc,feeling,True,True,False,3,34
views,view,NOUN,conj,feeling,False,True,False,3,35
of,of,ADP,prep,feeling,True,True,False,3,36
such,such,DET,predet,man,True,True,False,3,37
a,a,DET,det,man,True,True,False,3,38
man,man,NOUN,pobj,of,False,True,False,3,39
