gender,category,agent_count,patient_count,agent_pct,patient_pct,diff_pct
female,action,148,53,6.3,8.77,-2.48
female,cognition,230,19,9.79,3.15,6.64
female,communication,446,104,18.98,17.22,1.76
female,emotion,26,31,1.11,5.13,-4.03
female,motion,163,23,6.94,3.81,3.13
female,other,1060,304,45.11,50.33,-5.22
female,perception,277,70,11.79,11.59,0.2
male,action,177,63,9.66,10.48,-0.82
male,cognition,148,33,8.08,5.49,2.59
male,communication,331,73,18.07,12.15,5.92
male,emotion,37,32,2.02,5.32,-3.3
male,motion,199,16,10.86,2.66,8.2
male,other,834,308,45.52,51.25,-5.72
male,perception,106,76,5.79,12.65,-6.86
