adjective,head_word,gender,tier,dep_type,example,cop_verb
single,man,male,role_noun,amod,"﻿ Chapter I.] It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.",
dear,bennet,male,name,amod,"“My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”",
young,man,male,role_noun,amod,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on",
single,man,male,role_noun,amod,A single man of large fortune; four or five thousand a year.,
dear,bennet,male,name,amod,"“My dear Mr. Bennet,” replied his wife, “how can you be so tiresome?",
other,girl,female,role_noun,amod,"“They have none of them much to recommend them,” replied he: “they are all silly and ignorant like other girls; but Lizzy has something more of quickn",
many,man,male,role_noun,amod,"“But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.”",
young,man,male,role_noun,amod,"“But I hope you will get over it, and live to see many young men of four thousand a year come into the neighbourhood.”",
second,daughter,female,role_noun,amod,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--",
selfish,woman,female,role_noun,amod,"She is a selfish, hypocritical woman, and I have no opinion of her.”",
hypocritical,woman,female,role_noun,amod,"She is a selfish, hypocritical woman, and I have no opinion of her.”",
impossible,bennet,male,name,amod,"“Impossible, Mr. Bennet, impossible, when I am not acquainted with him myself; how can you be so teasing?”",
young,lady,female,role_noun,amod,"For you are a young lady of deep reflection, I know, and read great books, and make extracts.”",
dear,bennet,male,name,amod,"“How good it was in you, my dear Mr. Bennet!",
excellent,father,male,role_noun,amod,"“What an excellent father you have, girls,” said she, when the door was shut.",
young,lady,female,role_noun,amod,"He had entertained hopes of being admitted to a sight of the young ladies, of whose beauty he had heard much; but he saw only the father.",
young,man,male,role_noun,amod,"And when the party entered the assembly-room, it consisted of only five altogether: Mr. Bingley, his two sisters, the husband of the eldest, and anoth",
fine,woman,female,role_noun,amod,"His sisters were fine women, with an air of decided fashion.",
other,lady,female,role_noun,amod,"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening ",
proud,man,male,role_noun,amod,"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.",
disagreeable,man,male,role_noun,amod,"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.",
many,girl,female,role_noun,amod,"Upon my honour, I never met with so many pleasant girls in my life as I have this evening; and there are several of them, you see, uncommonly pretty.”",
pleasant,girl,female,role_noun,amod,"Upon my honour, I never met with so many pleasant girls in my life as I have this evening; and there are several of them, you see, uncommonly pretty.”",
only,girl,female,role_noun,amod,"“_You_ are dancing with the only handsome girl in the room,” said Mr. Darcy, looking at the eldest Miss Bennet.",
handsome,girl,female,role_noun,amod,"“_You_ are dancing with the only handsome girl in the room,” said Mr. Darcy, looking at the eldest Miss Bennet.",
eld,bennet,male,name,amod,"“_You_ are dancing with the only handsome girl in the room,” said Mr. Darcy, looking at the eldest Miss Bennet.",
young,lady,female,role_noun,amod,"[_Copyright 1894 by George Allen._]] “Which do you mean?” and turning round, he looked for a moment at Elizabeth, till, catching her eye, he withdrew ",
other,man,male,role_noun,amod,"[_Copyright 1894 by George Allen._]] “Which do you mean?” and turning round, he looked for a moment at Elizabeth, till, catching her eye, he withdrew ",
