possessor,possessed,gender,tier,example
his,enter,male,pronoun,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the"
his,lady,male,pronoun,"“My dear Mr. Bennet,” said his lady to him one day, “have you heard that Netherfield Park is let at last?”"
his,wife,male,pronoun,"“Do not you want to know who has taken it?” cried his wife, impatiently."
his,servant,male,pronoun,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on"
his,name,male,pronoun,“What is his name?”
his,wife,male,pronoun,"“My dear Mr. Bennet,” replied his wife, “how can you be so tiresome?"
his,design,male,pronoun,“Is that his design in settling here?”
her,beauty,female,pronoun,"When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”"
his,marrying,male,pronoun,I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying whichever h
her,sister,female,pronoun,"“They have none of them much to recommend them,” replied he: “they are all silly and ignorant like other girls; but Lizzy has something more of quickn"
his,wife,male,pronoun,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insuffi"
his,character,male,pronoun,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insuffi"
she,mind,female,pronoun,Her_ mind was less difficult to develope.
her,life,female,pronoun,The business of her life was to get her daughters married: its solace was visiting and news.
her,daughter,female,pronoun,The business of her life was to get her daughters married: its solace was visiting and news.
his,wife,male,pronoun,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid "
his,daughter,male,pronoun,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,--"
her,mother,female,pronoun,"Mr. Bingley likes,” said her mother, resentfully, “since we are not to visit.”"
her,own,female,pronoun,She has two nieces of her own.
her,daughter,female,pronoun,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
her,cough,female,pronoun,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
her,father,female,pronoun,"“Kitty has no discretion in her coughs,” said her father; “she times them ill.”"
