Lemma,gender,role
his,male,subject
daughter,female,subject
who,other,subject
daughter,female,subject
jane,female,subject
daughter,female,subject
you,other,subject
you,other,subject
lizzy,female,subject
her,female,subject
_,other,subject
her,female,subject
he,male,subject
daughter,female,subject
who,other,subject
he,male,subject
his,male,subject
she,female,subject
she,female,subject
son,male,subject
he,male,subject
friend,other,subject
wickham,male,subject
father,male,subject
appearance,other,subject
master,other,subject
wickham,male,subject
he,male,subject
wickham,male,subject
they,other,subject
wickham,male,subject
he,male,subject
he,male,subject
they,other,subject
_,other,subject
they,other,subject
man,male,subject
they,other,subject
he,male,subject
daughter,female,subject
bennet,male,subject
he,male,subject
he,male,subject
he,male,subject
my,other,subject
he,male,subject
darcy,male,subject
his,male,subject
daughter,female,subject
i,other,subject
one,other,object
man,male,object
man,male,object
collins,male,object
he,male,object
collins,male,object
he,male,object
darcy,male,object
you,other,object
lizzy,female,object
he,male,object
girl,female,object
sister,female,object
i,other,object
_,other,object
she,female,object
_,other,object
collins,male,object
fitzwilliam,male,object
she,female,object
sister,female,object
king,other,object
woman,female,object
lydia,female,object
she,female,object
girl,female,object
she,female,object
woman,female,object
_,other,object
she,female,object
she,female,object
lydia,female,object
lydia,female,object
she,female,object
daughter,female,object
she,female,object
sister,female,object
_,other,object
_,other,object
daughter,female,object
one,other,object
nephew,other,object
bourgh,other,object
nephew,other,object
daughter,female,object
she,female,object
i,other,object
we,other,passive_subject
one,other,passive_subject
they,other,passive_subject
they,other,passive_subject
they,other,passive_subject
niece,other,passive_subject
daughter,female,passive_subject
she,female,passive_subject
she,female,passive_subject
they,other,passive_subject
he,male,passive_subject
we,other,passive_subject
they,other,passive_subject
she,female,passive_subject
they,other,passive_subject
